Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,SG,SG,0,720,0,1,2,3,4,5,6,7,8,9,10
1,RE_PV_Rooftop_Lim,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
2,RE_PV_Openfield_Lim,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
3,RE_WIND_Offshore_Lim,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
4,RE_WIND_Onshore_Lim,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
5,PP_CO2,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
6,BESS,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
7,EL_to_HTH,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
8,EL_to_NH3,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_Storage,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
10,NH3_to_EL,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
11,NH3_to_HTH,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
12,FF_to_HTH,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
13,EL_Demand,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
14,HTH_Demand,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
